name,url,protected,pinned_tweet_id,profile_image_url,id,username,public_metrics,created_at,description,verified,location
peter,,False,1.0114863374369792e+18,https://pbs.twimg.com/profile_images/465073591793364993/lbZnPiFt_normal.jpeg,2411824508,Peterheems,"{'followers_count': 1988, 'following_count': 3602, 'tweet_count': 41984, 'listed_count': 9}",2014-03-26T01:32:27.000Z,"Het leven is zo  kort ,maar zo lang het duurt ,maak lol in je leven dan komt alles goed :-)",False,
عبدالرحمن الطعيس الاسهم والعملات 🇺🇸,,False,1.4371955231785738e+18,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1427047544165740500,red6660d,"{'followers_count': 16, 'following_count': 448, 'tweet_count': 8437, 'listed_count': 0}",2021-08-15T23:20:38.000Z,محلل موجات الليوت ومحلل عملات وسلع ومحلل اسهم,False,
SPE-Digiology,https://t.co/zBOBvCRhpY,False,,https://pbs.twimg.com/profile_images/1492967089702907907/LcfbcXKg_normal.jpg,397310625,SPEnterprises1,"{'followers_count': 309, 'following_count': 492, 'tweet_count': 4056, 'listed_count': 1}",2011-10-24T14:30:41.000Z,"DWarren-Producer Musician Engineering Surveying Owner: Street Production Enterprises🎶 https://t.co/Ojsi1OWbEC
#ADOS Strong🔥 https://t.co/YL6dfTC4OH""Raging REPARATIONIST""",False,Denver CO
Emmanuel Deonna,,False,,https://pbs.twimg.com/profile_images/854317246860185601/QJfvVbHQ_normal.jpg,3053961663,DeonnaEmmanuel,"{'followers_count': 1139, 'following_count': 3614, 'tweet_count': 1001, 'listed_count': 0}",2015-02-22T21:38:25.000Z,"Journaliste et critique indépendant, Député, Grand Conseil genevois. Président Commission Migration et Genève internationale PS genevois",False,Genève
Philippe Déjardin 🎤🎵,,False,,https://pbs.twimg.com/profile_images/1300810226870951939/YUm9bSfb_normal.jpg,1498445720,ph_dejardin,"{'followers_count': 1815, 'following_count': 1075, 'tweet_count': 57355, 'listed_count': 192}",2013-06-10T14:19:19.000Z,#journalisme 🎤 ✍ #communication 🤝#RP👍 #organisation #jazz #jbmoundele #manager @epapillonposey,False,Nice06
Al.Molod,https://t.co/ikbhuUp1nm,False,,https://pbs.twimg.com/profile_images/888058436658880512/ZuqJHvdf_normal.jpg,4085569277,almolod63,"{'followers_count': 173, 'following_count': 688, 'tweet_count': 449, 'listed_count': 2}",2015-10-31T22:23:19.000Z,A simple layman's view of the world,False,
Austrian Embassy Addis,https://t.co/DG5HS2dqJa,False,,https://pbs.twimg.com/profile_images/1213046001143074816/PNzZOmUl_normal.jpg,1213044829023686700,AustriainET,"{'followers_count': 289, 'following_count': 202, 'tweet_count': 231, 'listed_count': 8}",2020-01-03T10:30:33.000Z,"Official account of the Austrian Embassy in Addis Ababa, @MFA_Austria, with co-accreditation in South Sudan, Djibouti, Uganda and Congo Brazzaville",False,Addis Ababa
OCMP LIBRA,,False,1.5183553020050227e+18,https://pbs.twimg.com/profile_images/1518298242986950659/C5h1pR-T_normal.jpg,1518233135577804800,LibraOcmp,"{'followers_count': 3, 'following_count': 16, 'tweet_count': 369, 'listed_count': 0}",2022-04-24T14:19:45.000Z,Real French,False,Occitania
Boulevard Voltaire,https://t.co/zhz33DpZpf,False,1.404748616711934e+18,https://pbs.twimg.com/profile_images/1463806689753317377/NLWJWVLR_normal.jpg,586595369,BVoltaire,"{'followers_count': 63537, 'following_count': 99, 'tweet_count': 66463, 'listed_count': 408}",2012-05-21T14:42:39.000Z,La liberté guide nos pas ! 🖥Facebook :https://t.co/RIO9zuvvTt 📱Instagram https://t.co/HF4ayVN2lT 📲 Telegram https://t.co/weHyhpCXhC,False,"Paris, France"
Brian Európata 🇮🇨 || 🇸🇪🇪🇸,,False,,https://pbs.twimg.com/profile_images/1502431431166996480/C7PvSwrX_normal.jpg,1502340274105852000,UE_Brian,"{'followers_count': 4, 'following_count': 121, 'tweet_count': 138, 'listed_count': 0}",2022-03-11T17:47:07.000Z,"EUROFAN 🎤🎶 // La Unión Europea, único pilar para proteger Europa y conseguir la paz y seguridad 🇪🇺❤️💪🏻 \\ ʟᴏɴɢ ʟɪᴠᴇ ᴇᴜʀᴏᴘᴇᴀɴ ᴜɴɪᴏɴ // 🇪🇺🕊️⚖️🏳️‍🌈",False,"España, Europa "
De Traverse,https://t.co/I3cfZGBtqK,False,1.4978222984174838e+18,https://pbs.twimg.com/profile_images/921409865456766979/UPKuA522_normal.jpg,884051815,Mont_Cervin4478,"{'followers_count': 441, 'following_count': 2502, 'tweet_count': 64457, 'listed_count': 39}",2012-10-16T08:57:08.000Z,"El futuro se detiene en julio de 1936 en Barcelona... George Orwell, Hommage à la Catalogne",False,Le moment présent
Mcryptoz,https://t.co/jS3Ag1uVMD,False,,https://pbs.twimg.com/profile_images/1432811611215962115/gYBrXAmZ_normal.jpg,1432810936792879000,McryptozCom,"{'followers_count': 16, 'following_count': 22, 'tweet_count': 5765, 'listed_count': 1}",2021-08-31T21:04:13.000Z,"Bitcoin news, crypto news, coindesk, dogecoin news, cryptocurrency news",False,
EU Values,,False,1.4969457049875948e+18,https://pbs.twimg.com/profile_images/719551787594817537/HjPhhd6q_normal.jpg,700421115726929900,eu_values,"{'followers_count': 583, 'following_count': 1005, 'tweet_count': 21383, 'listed_count': 16}",2016-02-18T20:46:22.000Z,"United we stand, divided we fall. Private account protecting & supporting the EU Values. Retweeting for awareness on Russian war against European values #FBPE",False,"European Union Brussel, België"
Onik Kai Art,,False,1.5167474780366234e+18,https://pbs.twimg.com/profile_images/1509863488415584279/iDGYoz9R_normal.jpg,1495034439390404600,onik_kai_art,"{'followers_count': 18, 'following_count': 25, 'tweet_count': 27, 'listed_count': 0}",2022-02-19T13:56:23.000Z,Hello! My name is Andy (Onik Kai). I am an dilettante artist🦐,False,Universe 
Krešimir Perković,https://t.co/9YKfp22RpV,False,1.5207803069152092e+18,https://pbs.twimg.com/profile_images/1509231947830243333/jXhauCDR_normal.jpg,1480213362621440000,KresimirPerkov2,"{'followers_count': 444, 'following_count': 175, 'tweet_count': 511, 'listed_count': 8}",2022-01-09T16:22:37.000Z,"Author of the book ""Freedom in Peril: Threats from Within the West"".
Working at Croatian Tax administration. Lives in Croatia.",False,"Split, Croatia"
🌎 Sarwar 🌐,,False,1.242819891977126e+18,https://pbs.twimg.com/profile_images/930769207200972800/DtIJ-1fz_normal.jpg,52571677,ferozwala,"{'followers_count': 4208, 'following_count': 1926, 'tweet_count': 222684, 'listed_count': 58}",2009-07-01T00:18:11.000Z,W pirsarwarras,False,E
Europe En Images,http://t.co/nYT50pCqVj,False,,https://pbs.twimg.com/profile_images/505690527107268609/YThEToJZ_normal.png,97005863,EuropeEnImages,"{'followers_count': 487, 'following_count': 322, 'tweet_count': 24232, 'listed_count': 83}",2009-12-15T15:54:47.000Z,"Web Tv sur l'Union Européenne et la vie des européens. Web Tv about European Union. http://t.co/Xm6lNxNGAJ #europe Made in Europe, France, Bretagne, Saint-Malo",False,"France, Saint-Malo"
Otrane,,False,1.171891531231486e+18,https://pbs.twimg.com/profile_images/1158567819962961920/tCsAFVH-_normal.jpg,1707031495,Ortane35,"{'followers_count': 2466, 'following_count': 3220, 'tweet_count': 77946, 'listed_count': 3}",2013-08-28T11:05:35.000Z,"Kaos haricinde özgürlük ve ortak değerlere saygı huzurlu insanca yaşamak.
SAYGI ile BİRLİKTE YAŞAMA KÜLTÜRÜnü beceremezsek, EMPERYALİZMİN potasında eritiliceğiz",False,Profilimde arama fikrimde ara
